state,district,name,state_rank,national_rank,college_readiness_score,tested_ap_ib,pass_ap_ib,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient,student_teacher_ratio,street_address,city,total_enrollment,total_economically_disadvantaged,receives_title_i_funding,ap_student_performance_participation_rate,ap_student_performance_participant_passing_rate,ap_student_performance_exam_per_test_taker,ap_student_performance_exam_pass_rate
Michigan,Inland Lakes Schools,Inland Lakes High School,,Unranked,N/A,,,1.7,13.00%,87.00%,2.4,52.00%,48.00%,19:1,4363 SOUTH STRAITS HWY,"INDIAN RIVER, MI 49749",408,52.00%,Yes,,,,
Michigan,Ionia Public Schools,Ionia High School,,Unranked,15.8,21.00%,62.00%,1.9,19.00%,81.00%,2.5,60.0%,40.0%,23:1,250 EAST TUTTLE RD,"IONIA, MI 48846",915,49.00%,Yes,21.00%,68.00%,2.2,62.00%
Michigan,Iron Mountain Public Schools,Iron Mountain High School,,Unranked,N/A,,,2.1,38.00%,62.00%,2.7,59.00%,41.00%,18:1,300 WEST B ST,"IRON MOUNTAIN, MI 49801",366,27.00%,No,,,,
Michigan,Ishpeming Public School District No. 1,Ishpeming High School,,Unranked,9.2,18.00%,33.00%,2,19.00%,81.00%,2.6,52.00%,48.00%,21:1,319 EAST DIVISION ST,"ISHPEMING, MI 49849",285,42.00%,Yes,18.00%,33.00%,1,33.00%
Michigan,Nice Community School District,Ishpeming-Negaunee-Nice Comm. Ed. Division,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,7:1,101 SOUTH PIONEER AVE,"NEGAUNEE, MI 49866",42,76.00%,Yes,,,,
Michigan,Ithaca Public Schools,Ithaca High School,,Unranked,24,35.00%,51.00%,2.1,29.00%,71.00%,2.6,55.00%,45.00%,19:1,710 NORTH UNION ST,"ITHACA, MI 48847",634,36.00%,Yes,35.00%,57.00%,1.9,51.00%
Michigan,Lansing Public School District,J.W. Sexton High School,,Unranked,5.4,8.00%,38.00%,1.3,2.00%,98.00%,1.9,20.0%,80.0%,23:1,102 MCPHERSON AVE,"LANSING, MI 48915",793,56.00%,Yes,8.00%,55.00%,2.9,38.00%
Michigan,Jackson Public Schools,Jackson High School,,Unranked,11.5,15.00%,64.00%,1.7,16.00%,84.00%,2.3,47.00%,53.00%,17:1,544 WILDWOOD AVE,"JACKSON, MI 49201","1,487",63.00%,Yes,15.00%,66.00%,2.1,64.00%
Michigan,Jefferson Schools (Monroe),Jefferson High School,,Unranked,10.3,17.00%,40.0%,1.9,24.00%,76.00%,2.4,48.00%,52.00%,20:1,5707 WILLIAMS RD,"MONROE, MI 48162",708,27.00%,Yes,17.00%,46.00%,1.7,40.0%
Michigan,Jenison Public Schools,Jenison High School,,Unranked,38.2,46.00%,74.00%,2.4,44.00%,56.00%,2.8,68.00%,32.00%,19:1,2140 BAUER RD,"JENISON, MI 49428","1,449",20.0%,Yes,46.00%,77.00%,2.3,74.00%
Michigan,Detroit Public Schools,Jerry L White Center High School,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,10:1,14804 WEST MCNICHOLS RD,"DETROIT, MI 48235",238,93.00%,Yes,,,,
Michigan,Wayne-Westland Community School District,John Glenn High School,,Unranked,9.2,15.00%,39.00%,1.7,17.00%,83.00%,2.4,48.00%,52.00%,22:1,36105 MARQUETTE ST,"WESTLAND, MI 48185","1,982",52.00%,Yes,15.00%,50.0%,2.5,39.00%
Michigan,Jonesville Community Schools,Jonesville Alternative H.S.,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,16:1,401 EAST CHICAGO ST,"JONESVILLE, MI 49250",61,79.00%,Yes,,,,
Michigan,Jonesville Community Schools,Jonesville High School,,Unranked,21,43.00%,34.00%,2.1,26.00%,74.00%,2.6,65.00%,35.00%,22:1,460 ADRIAN RD,"JONESVILLE, MI 49250",389,40.0%,No,43.00%,32.00%,1.6,34.00%
Michigan,Ludington Area School District,Journey Junior/Senior High School,,Unranked,N/A,,,1.1,0%,100%,1.4,6.00%,94.00%,N/A,1916 WEST US HWY 10 31,"SCOTTVILLE, MI 49454",114,82.00%,Yes,,,,
Michigan,Kalamazoo Public Schools,Kalamazoo Central High School,,Unranked,33,66.00%,31.00%,1.9,28.00%,72.00%,2.4,48.00%,52.00%,18:1,2432 NORTH DRAKE RD,"KALAMAZOO, MI 49006","1,654",58.00%,Yes,66.00%,34.00%,2.8,31.00%
Michigan,Macomb Isd,Keith Bovenschen School,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,8:1,12345 FRAZHO RD,"WARREN, MI 48089",206,55.00%,No,,,,
Michigan,East Detroit Public Schools,Kellwood School (Alternative),,Unranked,N/A,,,1.2,0%,100%,1.5,6.00%,94.00%,15:1,15320 NINE MILE RD,"EASTPOINTE, MI 48021",124,77.00%,No,,,,
Michigan,Kenowa Hills Public Schools,Kenowa Hills High School,,Unranked,16.6,22.00%,69.00%,2.1,31.00%,69.00%,2.6,62.00%,38.00%,21:1,3825 HENDERSHOT AVE NW,"GRAND RAPIDS, MI 49544","1,153",36.00%,Yes,22.00%,67.00%,2.5,69.00%
Michigan,Kensington Woods High School,Kensington Woods High School,,Unranked,N/A,,,1.9,20.0%,80.0%,2.5,58.00%,42.00%,14:1,3750 CLEARY DR,"HOWELL, MI 48843",141,13.00%,No,,,,
Michigan,Kent City Community Schools,Kent City Alternative High School,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,24:1,351 NORTH MAIN ST,"KENT CITY, MI 49330",24,63.00%,No,,,,
Michigan,Kent City Community Schools,Kent City High School,,Unranked,11.6,19.00%,45.00%,2,27.00%,73.00%,2.6,58.00%,42.00%,23:1,351 NORTH MAIN ST,"KENT CITY, MI 49330",359,41.00%,Yes,19.00%,47.00%,1.1,45.00%
Michigan,Grand Rapids Public Schools,Kent Education Center--Beltline,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,6:1,1606 LEFFINGWELL AVE NE,"GRAND RAPIDS, MI 49525",92,80.0%,No,,,,
Michigan,Grand Rapids Public Schools,Kent Vocational Options,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,4:1,864 CRAHEN AVE NE,"GRAND RAPIDS, MI 49525",68,75.00%,No,,,,
Michigan,Detroit Public Schools,Kettering High School,,Unranked,3.3,13.00%,0%,1.1,0%,100%,1.5,8.00%,92.00%,18:1,6101 VAN DYKE ST,"DETROIT, MI 48213",723,83.00%,Yes,13.00%,0%,1.1,0%
Michigan,Detroit Public Schools,Kettering West Wing,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,9:1,6101 VAN DYKE ST,"DETROIT, MI 48213",196,81.00%,Yes,,,,
Michigan,Detroit Public Schools,King High School,,Unranked,7.5,29.00%,1.00%,1.2,1.00%,99.00%,1.8,18.00%,82.00%,24:1,3200 EAST LAFAYETTE ST,"DETROIT, MI 48207","1,313",79.00%,Yes,29.00%,1.00%,2.3,1.00%
Michigan,L'Anse Creuse Public Schools,L'Anse Creuse High School,,Unranked,23,31.00%,56.00%,2,27.00%,73.00%,2.6,57.00%,43.00%,22:1,38495 LANSE CREUSE ST,"HARRISON TOWNSHIP, MI 48045","1,698",33.00%,Yes,31.00%,64.00%,2.4,56.00%
Michigan,L'Anse Creuse Public Schools,L'Anse Creuse High School - North,,Unranked,11.5,21.00%,38.00%,2.3,42.00%,58.00%,2.6,60.0%,40.0%,23:1,23700 21 MILE RD,"MACOMB, MI 48042","1,875",29.00%,Yes,21.00%,40.0%,2.2,38.00%
Michigan,L'Anse Creuse Public Schools,L'Anse Creuse-Mount Clemens Center For Lifelong Le,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,13:1,33 NORTH RIVER RD,"MOUNT CLEMENS, MI 48043",123,44.00%,No,,,,
Michigan,L'Anse Area Schools,L'Anse High School,,Unranked,7.5,20.0%,14.00%,1.8,11.00%,89.00%,2.4,54.00%,46.00%,15:1,201 NORTH 4TH ST,"LANSE, MI 49946",375,47.00%,Yes,20.0%,17.00%,1.2,14.00%
Michigan,Laingsburg Community Schools,Laingsburg High School,,Unranked,23,25.00%,85.00%,2.2,34.00%,66.00%,2.7,62.00%,38.00%,21:1,8008 WOODBURY RD,"LAINGSBURG, MI 48848",390,21.00%,Yes,25.00%,88.00%,1.9,85.00%
Michigan,Lake Fenton Community Schools,Lake Fenton High School,,Unranked,16,26.00%,43.00%,2.1,28.00%,72.00%,2.7,64.00%,36.00%,20:1,4070 LAHRING RD,"LINDEN, MI 48451",558,14.00%,Yes,26.00%,48.00%,1.4,43.00%
Michigan,Lake Orion Community Schools,Lake Orion Community High School,,Unranked,28,34.00%,78.00%,2.4,45.00%,55.00%,2.9,71.00%,29.00%,22:1,495 EAST SCRIPPS RD,"LAKE ORION, MI 48360","2,546",19.00%,Yes,34.00%,78.00%,2.9,78.00%
Michigan,Huron Valley Schools,Lakeland High School,,Unranked,35.6,43.00%,68.00%,2.1,32.00%,68.00%,2.7,62.00%,38.00%,18:1,1630 BOGIE LAKE RD,"WHITE LAKE, MI 48383","1,484",28.00%,No,43.00%,77.00%,3.5,68.00%
Michigan,Elkton-Pigeon-Bay Port Laker Schools,Laker High School,,Unranked,14.3,20.0%,50.0%,2,28.00%,72.00%,2.6,57.00%,43.00%,24:1,6136 PIGEON RD,"PIGEON, MI 48755",344,42.00%,Yes,20.0%,60.0%,1.6,50.0%
Michigan,Lakeview Sch. District (Calhoun),Lakeview High School,,Unranked,10.1,16.00%,54.00%,1.9,26.00%,74.00%,2.4,50.0%,50.0%,20:1,15060 HELMER RD SOUTH,"BATTLE CREEK, MI 49015","1,381",35.00%,Yes,16.00%,54.00%,1.8,54.00%
Michigan,Lakeview Community Schools (Montcalm),Lakeview High School,,Unranked,6.5,13.00%,29.00%,1.7,16.00%,84.00%,2.4,44.00%,56.00%,24:1,9800 YOUNGMAN RD,"LAKEVIEW, MI 48850",583,N/A,Yes,13.00%,33.00%,1.9,29.00%
Michigan,Lakeville Community School District,Lakeville Alternative High School,,Unranked,N/A,,,N/A,N/A,N/A,1.6,0%,100%,35:1,8254 GALE RD,"OTISVILLE, MI 48463",112,68.00%,Yes,,,,
Michigan,Lakeville Community School District,Lakeville High School,,Unranked,N/A,,,1.5,7.00%,93.00%,2.2,42.00%,58.00%,20:1,12455 WILSON RD,"OTISVILLE, MI 48463",498,42.00%,No,,,,
Michigan,Lakewood Public Schools,Lakewood High School,,Unranked,23.9,39.00%,36.00%,2,28.00%,72.00%,2.6,61.00%,39.00%,20:1,7223 VELTE RD,"LAKE ODESSA, MI 48849",682,35.00%,Yes,39.00%,48.00%,2.1,36.00%
Michigan,Lamphere Public Schools,Lamphere High School,,Unranked,14.8,23.00%,46.00%,1.7,17.00%,83.00%,2.2,41.00%,59.00%,20:1,610 WEST 13 MILE RD,"MADISON HEIGHTS, MI 48071",823,43.00%,No,23.00%,53.00%,1.6,46.00%
Michigan,Landmark Academy,Landmark Academy,,Unranked,N/A,,,1.7,18.00%,82.00%,2.6,59.00%,41.00%,15:1,4800 LAPEER RD,"KIMBALL, MI 48074",957,44.00%,Yes,,,,
Michigan,Lapeer Community Schools,Lapeer Community High School,,Unranked,N/A,,,1.2,0%,100%,1.9,27.00%,73.00%,14:1,1220 LAKE NEPESSING RD,"LAPEER, MI 48446",121,64.00%,Yes,,,,
Michigan,Lapeer Community Schools,Lapeer East Senior High School,,Unranked,24.2,38.00%,41.00%,2,23.00%,77.00%,2.6,62.00%,38.00%,23:1,933 SOUTH SAGINAW ST,"LAPEER, MI 48446","1,099",41.00%,Yes,38.00%,52.00%,2.2,41.00%
Michigan,Lapeer Community Schools,Lapeer West Senior High School,,Unranked,8.3,15.00%,35.00%,2,24.00%,76.00%,2.5,60.0%,40.0%,23:1,170 MILLVILLE RD,"LAPEER, MI 48446","1,070",36.00%,No,15.00%,40.0%,1.7,35.00%
Michigan,St. Ignace Area Schools,Lasalle High School,,Unranked,N/A,,,1.8,16.00%,84.00%,2.5,56.00%,44.00%,19:1,443 PORTAGE ST,"SAINT IGNACE, MI 49781",227,46.00%,Yes,,,,
Michigan,Newaygo Public School District,Learning Center East,,Unranked,N/A,,,1.1,7.00%,93.00%,1.4,6.00%,94.00%,17:1,941 76TH ST,"NEWAYGO, MI 49337",59,59.00%,Yes,,,,
Michigan,Godfrey-Lee Public Schools,Lee High School,,Unranked,12.7,28.00%,23.00%,1.8,12.00%,88.00%,2.3,37.00%,63.00%,18:1,1335 LEE ST SW,"WYOMING, MI 49509",405,81.00%,Yes,28.00%,26.00%,1.2,23.00%
Michigan,South Redford School District,Lee M. Thurston High School,,Unranked,17.4,29.00%,54.00%,1.7,15.00%,85.00%,2.5,51.00%,49.00%,22:1,26255 SCHOOLCRAFT,"REDFORD, MI 48239","1,092",49.00%,Yes,29.00%,47.00%,3.2,54.00%
Michigan,Leslie Public Schools,Leslie High School,,Unranked,12.7,17.00%,59.00%,2,23.00%,77.00%,2.4,50.0%,50.0%,19:1,4141 HULL RD,"LESLIE, MI 49251",467,36.00%,Yes,17.00%,67.00%,2.2,59.00%
Michigan,Life Skills Center Of Pontiac,Life Skills Center Of Pontiac,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,28:1,142 AUBURN AVE,"PONTIAC, MI 48342",170,87.00%,Yes,,,,
Michigan,Lighthouse Academy,Lighthouse Academy,,Unranked,N/A,,,1.4,7.00%,93.00%,1.8,26.00%,74.00%,11:1,3300 36TH ST SE,"GRAND RAPIDS, MI 49512",210,90.0%,No,,,,
Michigan,Berrien Resa,Lighthouse Education Center,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,6:1,379 WEST GLENLORD RD,"SAINT JOSEPH, MI 49085",98,70.0%,No,,,,
Michigan,Owosso Public Schools,Lincoln Alternative High School,,Unranked,N/A,,,1.1,0%,100%,1.8,22.00%,78.00%,17:1,645 ALGER ST,"OWOSSO, MI 48867",131,74.00%,Yes,,,,
Michigan,Van Dyke Public Schools,Lincoln High School,,Unranked,N/A,,,1.5,9.00%,91.00%,2.1,32.00%,68.00%,19:1,22900 FEDERAL AVE,"WARREN, MI 48089",824,80.0%,Yes,,,,
Michigan,Grand Rapids Public Schools,Lincoln School,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,7:1,860 CRAHEN AVE NE,"GRAND RAPIDS, MI 49525",140,66.00%,No,,,,
Michigan,Lincoln Consolidated School District,Lincoln Senior High School,,Unranked,9.3,18.00%,35.00%,1.7,18.00%,82.00%,2.5,53.00%,47.00%,19:1,7425 WILLIS RD,"YPSILANTI, MI 48197","1,331",46.00%,Yes,18.00%,36.00%,2,35.00%
Michigan,Linden Community Schools,Linden High School,,Unranked,16,22.00%,60.0%,2.1,32.00%,68.00%,2.8,70.0%,30.0%,22:1,7201 SILVER LAKE RD,"LINDEN, MI 48451",939,32.00%,Yes,22.00%,64.00%,2.1,60.0%
Michigan,Litchfield Community Schools,Litchfield High School,,Unranked,N/A,,,1.4,10.0%,90.0%,1.8,29.00%,71.00%,21:1,210 WILLIAMS ST,"LITCHFIELD, MI 49252",196,62.00%,Yes,,,,
Michigan,Lowell Area Schools,Lowell Senior High School,,Unranked,34,47.00%,60.0%,2.3,38.00%,62.00%,2.7,66.00%,34.00%,20:1,11700 VERGENNES ST,"LOWELL, MI 49331","1,196",30.0%,No,47.00%,63.00%,2.8,60.0%
Michigan,Kalamazoo Public Schools,Loy Norrix High School,,Unranked,33.6,51.00%,42.00%,1.9,23.00%,77.00%,2.4,48.00%,52.00%,20:1,606 EAST KILGORE RD,"KALAMAZOO, MI 49001","1,432",63.00%,Yes,51.00%,55.00%,2.9,42.00%
Michigan,Ludington Area School District,Ludington High School,,Unranked,20,28.00%,63.00%,2.1,35.00%,65.00%,2.6,60.0%,40.0%,18:1,508 NORTH WASHINGTON AVE,"LUDINGTON, MI 49431",681,36.00%,No,28.00%,61.00%,1.8,63.00%
Michigan,Ironwood Area Schools Of Gogebic County,Luther L. Wright High School,,Unranked,N/A,,,1.9,23.00%,77.00%,2.5,53.00%,47.00%,17:1,650 EAST AYER ST,"IRONWOOD, MI 49938",417,52.00%,Yes,,,,
Michigan,Saginaw Township Community Schools,Mackinaw High School,,Unranked,N/A,,,1.2,2.00%,98.00%,2,21.00%,79.00%,37:1,2775 SHATTUCK RD,"SAGINAW, MI 48603",222,66.00%,Yes,,,,
Michigan,Madison Academy,Madison Academy - High School,,Unranked,N/A,,,1.4,0%,100%,2.2,49.00%,51.00%,N/A,3266 SOUTH GENESEE RD,"BURTON, MI 48519",307,67.00%,Yes,,,,
Michigan,Madison District Public Schools,Madison High School,,Unranked,N/A,,,1.6,11.00%,89.00%,2.2,41.00%,59.00%,18:1,915 EAST 11 MILE RD,"MADISON HEIGHTS, MI 48071",423,74.00%,Yes,,,,
Michigan,Sault Ste. Marie Area Schools,Malcolm High School,,Unranked,N/A,,,1.2,0%,100%,1.5,0%,100%,17:1,460 WEST SPRUCE ST,"SAULT SAINTE MARIE, MI 49783",87,66.00%,Yes,,,,
Michigan,Mancelona Public Schools,Mancelona High School,,Unranked,N/A,,,1.6,13.00%,87.00%,2.4,49.00%,51.00%,21:1,9300 LIMITS WEST,"MANCELONA, MI 49659",293,63.00%,Yes,,,,
Michigan,Manchester Community Schools,Manchester High School,,Unranked,13,29.00%,33.00%,2.1,33.00%,67.00%,2.9,73.00%,27.00%,22:1,20500 DUTCH DR,"MANCHESTER, MI 48158",404,19.00%,Yes,29.00%,26.00%,1.8,33.00%
Michigan,Manistee Area Public Schools,Manistee High School,,Unranked,19.8,27.00%,63.00%,1.9,22.00%,78.00%,2.5,54.00%,46.00%,22:1,525 12TH ST,"MANISTEE, MI 49660",512,43.00%,Yes,27.00%,65.00%,1.9,63.00%
Michigan,Manistique Area Schools,Manistique Middle And High School,,Unranked,19.2,33.00%,48.00%,1.7,9.00%,91.00%,2.5,48.00%,52.00%,20:1,100 NORTH CEDAR ST,"MANISTIQUE, MI 49854",520,51.00%,Yes,33.00%,43.00%,2.3,48.00%
Michigan,Glen Lake Community Schools,Maple City-Glen Lake Jr/Sr High School,,Unranked,18,25.00%,56.00%,2.1,35.00%,65.00%,2.7,59.00%,41.00%,17:1,3375 WEST BURDICKVILLE RD,"MAPLE CITY, MI 49664",422,32.00%,Yes,25.00%,61.00%,3.6,56.00%
Michigan,Maple Valley Schools,Maple Valley Jr/Sr High School,,Unranked,10.8,24.00%,26.00%,2,22.00%,78.00%,2.5,55.00%,45.00%,18:1,11090 NASHVILLE HWY,"VERMONTVILLE, MI 49096",697,50.0%,Yes,24.00%,27.00%,1.5,26.00%
Michigan,Marcellus Community Schools,Marcellus High School,,Unranked,N/A,,,1.7,14.00%,86.00%,2.5,57.00%,43.00%,17:1,303 ARBOR ST EAST,"MARCELLUS, MI 49067",329,47.00%,Yes,,,,
Michigan,East China School District,Marine City High School,,Unranked,18,26.00%,55.00%,2.2,41.00%,59.00%,2.7,63.00%,37.00%,20:1,1085 WARD ST,"MARINE CITY, MI 48039",652,32.00%,Yes,26.00%,58.00%,1.9,55.00%
Michigan,Marion Public Schools,Marion High School,,Unranked,N/A,,,1.8,15.00%,85.00%,2.4,48.00%,52.00%,19:1,2213 20 MILE RD,"MARION, MI 49665",274,69.00%,Yes,,,,
Michigan,Marquette Area Public Schools,Marquette Senior High School,,Unranked,29.7,33.00%,79.00%,2.3,43.00%,57.00%,2.9,72.00%,28.00%,20:1,1203 WEST FAIR AVE,"MARQUETTE, MI 49855","1,021",20.0%,No,33.00%,88.00%,3.3,79.00%
Michigan,Marshall Public Schools,Marshall High School,,Unranked,16.2,20.0%,76.00%,2.4,46.00%,54.00%,2.8,72.00%,28.00%,18:1,701 NORTH MARSHALL AVE,"MARSHALL, MI 49068",725,22.00%,No,20.0%,73.00%,1.9,76.00%
Michigan,Martin Public Schools,Martin High School,,Unranked,N/A,,,1.7,17.00%,83.00%,2.1,37.00%,63.00%,18:1,1556 CHALMERS,"MARTIN, MI 49070",236,48.00%,Yes,,,,
Michigan,Mason Public Schools (Ingham),Mason High School,,Unranked,13.9,20.0%,67.00%,2,27.00%,73.00%,2.6,58.00%,42.00%,19:1,1001 SOUTH BARNES ST,"MASON, MI 48854","1,054",26.00%,Yes,20.0%,58.00%,2.1,67.00%
Michigan,Mason Consolidated Schools (Monroe),Mason Senior High School,,Unranked,9,15.00%,42.00%,1.9,19.00%,81.00%,2.4,44.00%,56.00%,16:1,2400 MASON EAGLE DR,"ERIE, MI 48133",386,39.00%,Yes,15.00%,45.00%,1.6,42.00%
Michigan,Mcbain Rural Agricultural Schools,Mcbain High School,,Unranked,6.4,13.00%,33.00%,1.9,26.00%,74.00%,2.5,52.00%,48.00%,23:1,107 EAST MAPLE ST,"MC BAIN, MI 49657",351,37.00%,Yes,13.00%,33.00%,1,33.00%
Michigan,Muskegon Public Schools Of The City Of,Mcec,,Unranked,N/A,,,1.2,0%,100%,1.7,9.00%,91.00%,53:1,571 EAST APPLE AVE,"MUSKEGON, MI 49442",250,79.00%,Yes,,,,
Michigan,Melvindale-North Allen Park Schools,Melvindale High School,,Unranked,8.4,24.00%,10.0%,1.6,15.00%,85.00%,2.3,38.00%,62.00%,24:1,18656 PROSPECT ST,"MELVINDALE, MI 48122",903,59.00%,Yes,24.00%,14.00%,1.5,10.0%
Michigan,Memphis Community Schools,Memphis High School,,Unranked,N/A,,,1.8,21.00%,79.00%,2.6,65.00%,35.00%,18:1,34130 BORDMAN RD,"MEMPHIS, MI 48041",302,38.00%,Yes,,,,
Michigan,Mendon Community School District,Mendon Middle/High School,,Unranked,N/A,,,1.8,7.00%,93.00%,2.4,56.00%,44.00%,14:1,148 KIRBY RD,"MENDON, MI 49072",388,48.00%,Yes,,,,
Michigan,Menominee Area Public Schools,Menominee High School,,Unranked,N/A,,,1.9,23.00%,77.00%,2.5,54.00%,46.00%,18:1,2101 18TH ST,"MENOMINEE, MI 49858",545,36.00%,Yes,,,,
Michigan,Meridian Public Schools,Meridian High School,,Unranked,N/A,,,1.9,19.00%,81.00%,2.6,54.00%,46.00%,19:1,3303 NORTH HWY M30,"SANFORD, MI 48657",395,37.00%,Yes,,,,
Michigan,Merrill Community Schools,Merrill High School,,Unranked,N/A,,,1.7,10.0%,90.0%,2.4,54.00%,46.00%,19:1,555 WEST ALICE ST,"MERRILL, MI 48637",225,39.00%,Yes,,,,
Michigan,Merritt Academy,Merritt Academy,,Unranked,N/A,,,1.5,5.00%,95.00%,2.2,45.00%,55.00%,14:1,59900 HAVENRIDGE RD,"NEW HAVEN, MI 48048",463,40.0%,Yes,,,,
Michigan,Paw Paw Public School District,Michigan Avenue Academy,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,17:1,600 EAST MICHIGAN AVE,"PAW PAW, MI 49079",137,61.00%,Yes,,,,
Michigan,Michigan Center School District,Michigan Center Jr/Sr High School,,Unranked,N/A,,,1.7,17.00%,83.00%,2.4,48.00%,52.00%,20:1,400 SOUTH STATE ST,"MICHIGAN CENTER, MI 49254",637,54.00%,Yes,,,,
Michigan,Michigan Virtual Charter Academy,Michigan Virtual Charter Academy,,Unranked,N/A,,,1.3,0%,100%,2.2,28.00%,72.00%,62:1,678 FRONT AVE NW,"GRAND RAPIDS, MI 49504",676,52.00%,Yes,,,,
Michigan,Mid Peninsula School District,Mid Peninsula School,,Unranked,N/A,,,1.7,15.00%,85.00%,2.3,51.00%,49.00%,18:1,5055 SAINT NICHOLAS 31ST RD,"ROCK, MI 49880",230,50.0%,Yes,,,,
Michigan,Milan Area Schools,Milan High School,,Unranked,18.6,31.00%,40.0%,2.1,32.00%,68.00%,2.5,55.00%,45.00%,20:1,200 BIG RED DR,"MILAN, MI 48160",921,29.00%,Yes,31.00%,46.00%,2.9,40.0%
Michigan,Huron Valley Schools,Milford High School,,Unranked,34.1,39.00%,81.00%,2.2,37.00%,63.00%,2.8,71.00%,29.00%,20:1,2380 SOUTH MILFORD RD,"HIGHLAND, MI 48357","1,458",27.00%,No,39.00%,82.00%,3.6,81.00%
Michigan,Millington Community Schools,Millington High School,,Unranked,13.3,27.00%,27.00%,1.8,19.00%,81.00%,2.4,54.00%,46.00%,20:1,8780 DEAN DR,"MILLINGTON, MI 48746",477,48.00%,Yes,27.00%,33.00%,2,27.00%
Michigan,Mio-Ausable Schools,Mio-Ausable High School,,Unranked,N/A,,,1.8,10.0%,90.0%,2.5,58.00%,42.00%,17:1,1110 WEST 8TH ST,"MIO, MI 48647",362,60.0%,Yes,,,,
Michigan,Mona Shores Public School District,Mona Shores High School,,Unranked,31.3,39.00%,72.00%,2.2,33.00%,67.00%,2.8,67.00%,33.00%,20:1,1121 SEMINOLE RD,"MUSKEGON, MI 49441","1,349",32.00%,Yes,39.00%,74.00%,3.1,72.00%
Michigan,Monroe Isd,Monroe County Isd - Local Based Spec Ed Programs,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1101 SOUTH RAISINVILLE RD,"MONROE, MI 48161",496,55.00%,No,,,,
Michigan,Monroe Public Schools,Monroe High School,,Unranked,12.2,19.00%,45.00%,1.7,17.00%,83.00%,2.4,48.00%,52.00%,23:1,901 HERR RD,"MONROE, MI 48161","1,932",45.00%,Yes,19.00%,51.00%,1.9,45.00%
Michigan,Montague Area Public Schools,Montague High School,,Unranked,24.3,40.0%,42.00%,2,25.00%,75.00%,2.4,44.00%,56.00%,20:1,4900 STANTON BLVD,"MONTAGUE, MI 49437",397,44.00%,Yes,40.0%,48.00%,1.5,42.00%
Michigan,Montrose Community Schools,Montrose Alternative Education Center,,Unranked,N/A,,,1.1,0%,100%,1.7,18.00%,82.00%,15:1,150 SAGINAW ST,"MONTROSE, MI 48457",61,72.00%,Yes,,,,
Michigan,Morenci Area Schools,Morenci Area High School,,Unranked,12,22.00%,36.00%,1.9,14.00%,86.00%,2.4,54.00%,46.00%,23:1,788 EAST COOMER ST,"MORENCI, MI 49256",218,54.00%,Yes,22.00%,40.0%,1.4,36.00%
Michigan,Morley Stanwood Community Schools,Morley Stanwood High School,,Unranked,N/A,,,1.7,16.00%,84.00%,2.6,51.00%,49.00%,22:1,4700 NORTHLAND DR,"MORLEY, MI 49336",408,39.00%,No,,,,
Michigan,Morrice Area Schools,Morrice Area High School,,Unranked,N/A,,,1.6,5.00%,95.00%,2.3,43.00%,57.00%,17:1,691 PURDY LN,"MORRICE, MI 48857",249,41.00%,Yes,,,,
Michigan,Chippewa Hills School District,Mosaic School,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,26:1,350 WEST WHEATLAND AVE,"REMUS, MI 49340",100,77.00%,Yes,,,,
Michigan,Bendle Public Schools,Mott Middle College High School,,Unranked,N/A,,,1.5,6.00%,94.00%,2.1,25.00%,75.00%,N/A,1401 EAST COURT ST,"FLINT, MI 48503",396,79.00%,Yes,,,,
Michigan,Mount Clemens Community School District,Mount Clemens High School,,Unranked,6.8,23.00%,5.00%,1.3,5.00%,95.00%,1.9,32.00%,68.00%,16:1,155 CASS AVE,"MOUNT CLEMENS, MI 48043",388,79.00%,Yes,23.00%,6.00%,1.3,5.00%
Michigan,Mt. Morris Consolidated Schools,Mt. Morris Alternative Ed.,,Unranked,N/A,,,1.1,0%,100%,1.7,9.00%,91.00%,24:1,3488 NORTH JENNINGS RD G,"FLINT, MI 48504",534,69.00%,No,,,,
Michigan,Mt. Pleasant City School District,Mt. Pleasant Senior High School,,Unranked,16.6,22.00%,67.00%,2.2,38.00%,62.00%,2.7,64.00%,36.00%,16:1,1155 SOUTH ELIZABETH ST,"MOUNT PLEASANT, MI 48858","1,071",32.00%,No,22.00%,67.00%,2.2,67.00%
